Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
11/1/18,3.8,,,11/1/18,11/1/18
11/1/18,0.58,,,11/1/18,11/1/18
10/31/18,1.3,Website Registrations Completed,1,10/31/18,10/31/18
10/31/18,0.13,,,10/31/18,10/31/18
10/31/18,0.75,Website Registrations Completed,1,10/31/18,10/31/18
10/31/18,0.41,,,10/31/18,10/31/18
10/30/18,3.46,,,10/30/18,10/30/18
10/30/18,0.24,,,10/30/18,10/30/18
10/30/18,0.94,,,10/30/18,10/30/18
10/30/18,1.06,,,10/30/18,10/30/18
10/29/18,0.02,,,10/29/18,10/29/18
10/29/18,0.69,,,10/29/18,10/29/18
10/29/18,3.59,,,10/29/18,10/29/18
10/28/18,1.64,,,10/28/18,10/28/18
10/28/18,20.27,,,10/28/18,10/28/18
10/28/18,24.04,Website Registrations Completed,1,10/28/18,10/28/18
10/27/18,20.42,,,10/27/18,10/27/18
10/27/18,25.21,,,10/27/18,10/27/18
10/27/18,1.73,,,10/27/18,10/27/18
10/26/18,1.5,,,10/26/18,10/26/18
10/26/18,8.71,,,10/26/18,10/26/18
10/26/18,13.82,,,10/26/18,10/26/18
10/25/18,0.17,,,10/25/18,10/25/18
10/25/18,3.58,,,10/25/18,10/25/18
10/25/18,8,Website Registrations Completed,1,10/25/18,10/25/18
10/24/18,0.74,,,10/24/18,10/24/18
10/24/18,1.64,,,10/24/18,10/24/18
10/24/18,4.76,,,10/24/18,10/24/18
10/23/18,0.21,,,10/23/18,10/23/18
10/23/18,2.84,Website Registrations Completed,1,10/23/18,10/23/18
10/22/18,0.32,,,10/22/18,10/22/18
10/22/18,2.63,Website Registrations Completed,1,10/22/18,10/22/18
10/22/18,0.07,,,10/22/18,10/22/18
10/21/18,0.05,,,10/21/18,10/21/18
10/21/18,0.77,,,10/21/18,10/21/18
10/21/18,2.33,Website Registrations Completed,1,10/21/18,10/21/18
10/20/18,0.4,,,10/20/18,10/20/18
10/20/18,2.08,,,10/20/18,10/20/18
10/19/18,0.52,Website Registrations Completed,1,10/19/18,10/19/18
