Age,Amount Spent (USD),Reach
25-34,0.7,698
45-54,0.8,332
55-64,0.07,30
55-64,0.069485294,38
45-54,0.972794118,372
35-44,0.972794118,612
25-34,0.655147059,754
18-24,0.029779412,148
25-34,1.104880546,1377
18-24,0.060819113,189
55-64,0.050682594,37
35-44,1.07447099,993
45-54,0.679146758,401
55-64,0.090321429,36
45-54,0.792821429,382
35-44,1.033678571,817
25-34,0.812892857,912
18-24,0.080285714,166
25-34,0.843032491,771
18-24,0.070252708,128
55-64,0.030108303,23
35-44,1.053790614,616
45-54,0.782815884,287
18-24,0.060198675,133
55-64,0.110364238,25
45-54,0.752483444,309
35-44,1.033410596,685
25-34,1.073543046,912
35-44,0.99,710
18-24,0.12,162
25-34,1.03,901
45-54,0.82,316
55-64,0.06,31
65+,0.03,23
55-64,0.22,69
45-54,0.56,285
35-44,1.09,725
25-34,1,889
18-24,0.15,191
65+,0.2,49
55-64,0.36,131
45-54,0.53,237
35-44,0.87,641
25-34,0.76,771
18-24,0.12,214
35-44,1.07,675
18-24,0.11,186
25-34,0.6,693
45-54,0.51,244
55-64,0.42,141
65+,0.19,55
65+,0.15,57
55-64,0.32,163
45-54,0.69,354
35-44,1.24,774
25-34,0.49,775
18-24,0.09,229
65+,0.17,54
55-64,0.33,135
45-54,0.62,339
35-44,1.29,821
25-34,0.59,835
18-24,0.11,240
25-34,0.92,1191
18-24,0.22,280
35-44,1.03,1048
45-54,0.44,344
55-64,0.22,152
65+,0.16,52
35-44,2.02,2506
25-34,2.11,2932
18-24,0.36,550
45-54,0.76,596
55-64,0.41,254
65+,0.1,52
65+,0.16,70
55-64,0.48,284
45-54,0.8,662
35-44,2.85,3052
25-34,2.78,3696
18-24,0.47,596
35-44,6.69,6124
18-24,1.08,968
25-34,8.59,7384
45-54,1.71,952
65+,0.3,104
55-64,0.79,348
18-24,0.12,362
65+,0.05,51
55-64,0.16,160
45-54,0.9,459
35-44,1.51,971
25-34,1.73,1627
18-24,0.08,309
65+,0.01,24
55-64,0.14,97
45-54,1,385
35-44,1.8,942
25-34,1.49,1374
35-44,0.91,722
18-24,0.09,238
25-34,0.88,1046
45-54,0.47,274
65+,0.01,22
55-64,0.06,73
18-24,0.16,548
65+,0.27,64
55-64,0.46,280
45-54,1.45,748
35-44,6.66,3190
25-34,5.83,3966
18-24,0.25,582
65+,0.08,50
55-64,0.61,286
45-54,1.38,814
35-44,6.38,3192
25-34,5.46,3990
45-54,2.28,1106
18-24,0.47,704
25-34,1.71,2694
55-64,0.76,322
35-44,4.29,2376
65+,0.14,84
65+,0.09,58
55-64,0.37,270
45-54,1.16,916
35-44,2.27,2040
25-34,0.93,1996
18-24,0.24,550
18-24,0.15,326
65+,0.03,23
55-64,0.15,117
45-54,0.49,458
35-44,0.8,1094
25-34,0.34,802
45-54,0.65,448
18-24,0.06,226
25-34,0.26,561
55-64,0.2,106
35-44,0.87,996
65+,0.02,24
35-44,0.97,904
25-34,0.26,522
18-24,0.11,259
45-54,0.49,366
55-64,0.11,92
65+,0.06,25
65+,0.03,21
55-64,0.07,65
45-54,0.51,342
35-44,0.96,911
25-34,0.34,539
18-24,0.11,269
35-44,0.86,882
18-24,0.15,255
25-34,0.37,573
55-64,0.1,66
45-54,0.51,367
65+,0.01,15
65+,0.02,18
55-64,0.1,69
45-54,0.49,350
35-44,0.87,965
25-34,0.41,670
18-24,0.09,296
18-24,0.12,311
65+,0.01,20
55-64,0.06,88
45-54,0.39,396
35-44,1.03,1030
25-34,0.39,849
45-54,0.44,405
35-44,2.8,1442
18-24,0.13,282
55-64,0.09,103
65+,0.05,20
25-34,1.85,1265
45-54,0.59,463
65+,0.01,16
55-64,0.12,103
35-44,2.43,1426
25-34,1.28,1197
18-24,0.07,304
35-44,1.59,1082
25-34,0.82,844
18-24,0.08,259
45-54,0.5,373
55-64,0.1,71
65+,0,13
65+,0.01,15
55-64,0.08,57
45-54,0.36,344
35-44,1.63,1063
25-34,1.07,944
18-24,0.13,314
35-44,1.49,1073
18-24,0.1,291
25-34,1.16,981
45-54,0.68,403
65+,0,10
55-64,0.09,84
18-24,0.14,372
65+,0.01,20
55-64,0.12,94
45-54,1.12,497
35-44,3.35,1612
25-34,2.47,1560
18-24,0.15,336
65+,0,15
55-64,0.08,82
45-54,0.52,440
35-44,1.92,1342
25-34,0.78,961
35-44,1.62,1421
18-24,0.15,384
25-34,0.69,1001
45-54,0.42,474
65+,0.02,21
55-64,0.08,85
18-24,0.1,384
65+,0.01,16
55-64,0.11,96
45-54,0.47,473
35-44,1.57,1377
25-34,0.68,977
18-24,0.18,339
65+,0.02,12
55-64,0.08,65
45-54,0.55,415
35-44,2.87,1393
25-34,1.71,1105
45-54,0.48,396
18-24,0.08,312
25-34,0.92,932
55-64,0.14,73
35-44,1.6,1232
65+,0.04,21
65+,0.01,16
55-64,0.19,86
45-54,0.58,384
35-44,1.33,1094
25-34,0.62,695
18-24,0.11,226
18-24,0.12,292
65+,0.02,18
55-64,0.1,77
45-54,0.42,409
35-44,1.64,1162
25-34,0.76,844
35-44,3.23,1443
25-34,1.65,1086
18-24,0.11,261
45-54,0.56,412
65+,0.03,17
55-64,0.08,95
35-44,3.6,1738
25-34,2.08,1442
18-24,0.1,343
45-54,0.77,501
55-64,0.06,98
65+,0.03,22
65+,0.01,17
55-64,0.13,121
45-54,0.68,537
35-44,4.27,1863
25-34,3.43,1618
18-24,0.12,292
35-44,2.62,1441
18-24,0.1,299
25-34,2.14,1420
55-64,0.08,98
45-54,0.7,455
65+,0.03,15
65+,0.02,17
55-64,0.07,103
45-54,0.64,476
35-44,3.49,1668
25-34,3.81,1945
18-24,0.14,312
65+,0.01,18
55-64,0.04,80
45-54,0.67,447
35-44,3.77,1619
25-34,5.29,2428
18-24,0.13,303
35-44,8.02,2924
25-34,6.85,3524
18-24,0.14,292
45-54,0.95,600
65+,0.02,18
55-64,0.11,94
35-44,6.73,2266
18-24,0.21,430
25-34,3.29,2160
45-54,3.04,902
